PNword	review
좋	하지만 며칠 가 ᆫ 이 모델 을 사용 하 아 보 고 , 가격 , 성능 , 만듬새 가 과거 보다 월등히 좋 아 지 었 다는 사실 을 알 ᆯ 수 있 었 다
만족	배송 은 역시 이벤트 ？ 하 아서 조금 아 쉬 ？ 지만 저렴 하 게 구매 하 았 고 또 기다리 ᆫ 만큼 제품 이 만족 스럽 어 정말 좋 네요 우선 외관 이 생각 보다 맘 에 들 었 습니다 모니터 쪽 뒤 부분 은 금속제 질 이 ᆫ지 차갑 고 고급 지 어 보이 고 요 키보드 키감 이 저가 치 고 는 맘 에 들 네요 롤 도 풀 옵 으로 잘 돌아가 고 요 이것저것 더 하 아 보 아야 하 겠 지만 정말 가격 대비 짱 이 네요 레노버 as 무섭 데 서 걱정 하 았 는데 다행 이 양품 인 것 같 아 무지 만족스럽 네요 성능 역시 amd 짱 
좋	배송 은 역시 이벤트 ？ 하 아서 조금 아 쉬 ？ 지만 저렴 하 게 구매 하 았 고 또 기다리 ᆫ 만큼 제품 이 만족 스럽 어 정말 좋 네요 우선 외관 이 생각 보다 맘 에 들 었 습니다 모니터 쪽 뒤 부분 은 금속제 질 이 ᆫ지 차갑 고 고급 지 어 보이 고 요 키보드 키감 이 저가 치 고 는 맘 에 들 네요 롤 도 풀 옵 으로 잘 돌아가 고 요 이것저것 더 하 아 보 아야 하 겠 지만 정말 가격 대비 짱 이 네요 레노버 as 무섭 데 서 걱정 하 았 는데 다행 이 양품 인 것 같 아 무지 만족스럽 네요 성능 역시 amd 짱
좋	상품평 이 좋 아서 구매 하 았 는데 기대 만큼 성능 이 떨어지 네요
좋	2 일 만 에 배송 되 고 설치 도 엄청 빨리 되 고 생각 보다 성능 좋 네요 가성비 굿
차이	저 는 개발 용도 로 구입 하 ᆫ 노트북 이 지만 , 성능 차이 가 이렇게 심하 ᆯ 줄 은 모르 았 습니다
좋	무엇 보다 120 기가 짜리 m 2 는 아무리 성능 이 좋 아도 실제 사용 하 는데 에 용량 때문 에 제한 되 는 부분 이 많 을 것 이 기 에 고민 하 시 는 분 들 이 계시 다면 어짜피 실제 체감 차이 가 것 의 나 지 않 는 ssd 교환 이벤트 를 적용 받 으시 기 바라 ㅂ니다 
차이	무엇 보다 120 기가 짜리 m 2 는 아무리 성능 이 좋 아도 실제 사용 하 는데 에 용량 때문 에 제한 되 는 부분 이 많 을 것 이 기 에 고민 하 시 는 분 들 이 계시 다면 어짜피 실제 체감 차이 가 것 의 나 지 않 는 ssd 교환 이벤트 를 적용 받 으시 기 바라 ㅂ니다
좋	가성비 굳 성능 이 좋 네요
좋	좋 아요 생각 하 ᆫ 것 보다 는 살짝 두껍 ᆫ데 가격 이 너무 싸 ᆫ데다 성능 은 가격 에서 생각 하 ᆯ 수 없 는 사양 이 라 진짜 좋 아요 
좋	좋 아요 생각 하 ᆫ 것 보다 는 살짝 두껍 ᆫ데 가격 이 너무 싸 ᆫ데다 성능 은 가격 에서 생각 하 ᆯ 수 없 는 사양 이 라 진짜 좋 아요
좋	게다가 라 이제 ᆫ 성능 이 생각 보다 좋 고 이 가격 에 웹 캠 셔터 나 키보드 백라이트 기능 이 있 는 제품 은 찾 기 어렵 ᆯ 것 같 네요
만족	사실 고민 을 정말 많이 하 아서 살 ᆯ까 망설이 어 지 었 는데 받 아서 쓰 어 보 니 괜하 ᆫ 고민 이 았 습니다 이만한 가격 에 이 성능 이 라니 최고 네 요다 만 가끔 있 는 소음 은 조절 로 커버 되 니 만족 하 ㅂ니다
좋	전반 적 인 성능 이 더 좋 습니다
좋	윈도우 깔 아 주 ᆫ 분 이 성능 좋 다고 하 더라고요 처음 에 는 보 시 고
좋	가격 대비 성능 비 가 참 좋 네요
좋	이상 유무 는 더 사용 하 아 보 아야지 알 겠 지만 , 성능 이 상당히 좋 네요
좋	슬림 하 고 , 가볍고 , 소음 적 고 , 성능 좋 고 , 게임 도 되 고 하 ᆯ 말 이 없 네요 이렇게 좋 을 수 가 있 나요 
좋	슬림 하 고 , 가볍고 , 소음 적 고 , 성능 좋 고 , 게임 도 되 고 하 ᆯ 말 이 없 네요 이렇게 좋 을 수 가 있 나요
만족	블루색 상 아주 고급지 이 고 예쁘 ㅂ니다 이 ᆫ 기 격 에 이 정도 성능 의 노트북 은 이 제품 말 고 는 없 을 것 같 아요 배송 도 생각 보다 는 빨리 오 아서 만족 하 ㅂ니다
좋	처음 으로 사용 하 는 AMD CPU 레노버 S 340 - 14 API , 가격 도 좋 고 , 성능 또한 인텔 하고 별반 차이 가 없 네요 
차이	처음 으로 사용 하 는 AMD CPU 레노버 S 340 - 14 API , 가격 도 좋 고 , 성능 또한 인텔 하고 별반 차이 가 없 네요
