PNword	review
가볍	32 인치 모니터 와 Himid 케이블 포트 로 연결 잘 되 ᄆ 기존 삼성 nt 900 시리즈 와 비교 하 면 화면 크기 는 조금 작 고 , 두께 감 은 더 있 으나 무게 에서 는 오히려 좀더 가볍 ᆫ 느낌
가볍고	무게 도 가볍고 생각 보다 너무 깔끔 하 게 잘 나오 아서 대만족 이 ㅂ니다
가볍고	무게 도 가볍고 라 이제 ᆫ 이 라 그렇 ᆫ지 반응 도 빠르 네요
무겁	또한 무게 가 살짝 무겁 어서 한손 으로 들 기 살짝 부담 되 는 점 이 아쉽 습니다
적당	무게 는 사람 에 따르 아 다르 ᆯ 수 도 있 지만 저 는 적당 하 ᆫ 것 같 습니다 그리고 할인 가 에 사 기 ᆫ 하 았 지만 애초 에 가성비 가 좋 은 제품 인 것 같 아서 맘 에 드 ㅂ니다
무겁	2kg 와 비교 시 체감 무게 가 차이 가 꽤 나서 어 조금 무겁 기 ᆫ 하 ᆫ데 이 가격 에 이 정도 이 면 매우 감사합니다
약간	사무용 , 인강 용 , 동영상 감상 용 으로 쓰 면서 약간 의 무게 를 감내 하 시 ᆯ 수 있 는 분 들 에게 는 최고 의 선택 이 되 ᆯ 것 같 습니다
가볍	출퇴근 이 길 어서 업무용 으로 구입 하 았 는데 패널 크기 부터 넉넉 하 ᆫ 배터리 , 가볍 ᆫ 무게 까지
가볍고	소음 없 고 발열 잘 잡 고 무게 가볍고 디자인 좋 습니다 성능도 라 이제 ᆫ 2세 대 이 라 아주 좋 구요 ips 액정 이 라 눈 도 안 아프 구요 강력 추천 드리 ㅂ니다
적당	무게 또한 적당 하 ㅂ니다
적당	20 여 년 전 ibm 노트북 사용 ㅎ ㅜ 참 오랜만 에 thinkpad 는 아니 지만 , 거기 에 걸맞 는 노트북 을 오늘 받 았 네요 14인치 이 지만 베젤 이 얇 아서 크기 도 13인치 정도 로 보이 구요 무게 또한 적당 하 ㅂ니다
가볍고	무게 도 가볍고 마음 에 드 ㅂ니다
적당	적당 하 ᆫ 사무용 노트북 을 알아보 다가 이번 행사 때 마침 무게 도 가볍 ᆫ 편 이 고 기타 하드웨어 확장 이 쉽 ᆫ 편 에 속하 아 서구 입 하 았 습니다 
가볍	적당 하 ᆫ 사무용 노트북 을 알아보 다가 이번 행사 때 마침 무게 도 가볍 ᆫ 편 이 고 기타 하드웨어 확장 이 쉽 ᆫ 편 에 속하 아 서구 입 하 았 습니다
가볍	부드럽 ᆫ 동작 , 가볍 ᆫ 무게 등 너무 맘 에 드 ㅂ니다
가볍	) 가볍 ᆫ 무게 , 준수 하 ᆫ 성능 , 볼만하 ㄴ 액정 , 나름 좋 은 키감 단점 : 온 보드 4기가 램 , 14인치 이 라 액정 하단부 가 휑하 게 많이 남 음 , 그리고 사진 상 좌상 단 에 보이 는 조금 커다랗 ᆫ 어댑터 , 그리고 레노버 드라이버 정도
가볍	무게 는 이 정도 이 면 들 고 다니 면서 쓰 기 에 충분히 가볍 습니다
가볍	무게 는 성인 남자 가 들 고 다니 기 에 는 충분히 가볍 습니다
가볍	색깔 도 마음 에 들 고 무게 도 생각 보다 가볍 어요
가볍	무게 는 성인 남성 이 다루 기 에 매우 가볍 어 전혀 부담 이 없 는 수준 이 ㅂ니다
무겁	크기 도 작 고 무게 도 생각 보다 별로 안 무겁 습니다
가볍	무게 는 성인 남성 이 다루 기 에 매우 가볍 어 전혀 부담 이 없 는 수준 이 ㅂ니다
가볍	색깔 도 마음 에 들 고 무게 도 생각 보다 가볍 어요
가볍	무게 가볍 다 2
무겁	생각 보다 무겁 기 는 하 ᆫ데 , 이 이 게 또 장점 이 되 는게 노트북 을 한 손 으로 열 어야 하 ᆯ 때 하판 무게 가 견고 하 다보니 상판 을 열 때 하판 이 들리 지 않 습니다
가볍	이러 하 ᆫ 점 을 다 무시 하 고 는 가볍 ᆫ 무게 와 탄탄 하 ᆫ 노트북 바디 , 엄청나 게 저렴 하 ᆫ 가격 으로 인하 아 엄청 만족 하 게 사용 하 고 있 습니다
가볍	이러 하 ᆫ 점 을 다 무시 하 고 는 가볍 ᆫ 무게 와 탄탄 하 ᆫ 노트북 바디 , 엄청나 게 저렴 하 ᆫ 가격 으로 인하 아 엄청 만족 하 게 사용 하 고 있 습니다
가볍	무게 는 매우 가볍 며 아답터 크기 도 작 아서 휴대성 이 매우 좋 음
가볍고	무게 도 가볍고 화면 크기 도 적당 하 네요 
적당	무게 도 가볍고 화면 크기 도 적당 하 네요
가볍	14인치 에 무게 도 가볍 어서 들 고 다니 기 아주 좋 고 ips 이 라 시야 각 넓 고 라 이제 ᆫ 성능도 훌륭 하 ㅂ니다
가볍고	무게 도 가볍고 화면 크기 도 적당 하 네요 
적당	무게 도 가볍고 화면 크기 도 적당 하 네요
적당	무게 도 적당 하 아서 휴대 하 기 도 문제 없 을 듯 하 ㅂ니다
적당	무게 도 적당 하 아서 들 고 다니 ᆯ 때 지장 없 고요
적당	적당 하 ᆫ 크기 , 무게 , 성능 을 갖추 고 있 는 좋 은 제품 이 라 생각 하 ㅂ니다
가볍	더블 행사 가 아무래도 구매 요인 에 크기 도 하 고 사무용 이나 영상 감상 용 으로 사 았 는데 잘 쓸 듯 그리고 무게 는 그렇게 가볍 지 는 않 아서 살짝 아쉽
가볍	아직 실사용 은 못하 았 지만 색상 이나 외관 은 무난 하 네요 더블 행사 가 아무래도 구매 요인 에 크기 도 하 고 사무용 이나 영상 감상 용 으로 사 았 는데 잘 쓸 듯 그리고 무게 는 그렇게 가볍 지 는 않 아서 살짝 아쉽
적당	5 키로 적당 하 ᆫ 무게 에 , 깔끔 하 ㅂ니다 롤 하 면 100 프레임 이상 찍 어 주 어서 매우 좋 습니다
적당	배송 도 빠르 고 제품 받 자마자 혹시나 있 을 마감 불량 도 확인 하 았 는데 깔끔 하 ㅂ니다 사이즈 도 무게 도 적당 하 아서 들 고 다니 는데 크로스 백 에 넣 어도 전혀 문제없 고요 동일 사양 의 노트북 을 고민 하 시 는 분 들 에게 ᆫ 사 지 않 을 이유 가 한 개 도 없 다고 생각 하 ㅂ니다
적당	무게 는 그램 보다 야 무겁지 만 휴대 하 지 충분 하 ᆫ 것 같 고 사이즈 도 적당 하 ㅂ니다
적당	가성비 cpu 에 괜찮 은 내장 그래픽 적당 하 ᆫ 크기 무게 좋 네요
적당	무게 는 그램 보다 야 무겁지 만 휴대 하 지 충분 하 ᆫ 것 같 고 사이즈 도 적당 하 ㅂ니다
적당	가성비 cpu 에 괜찮 은 내장 그래픽 적당 하 ᆫ 크기 무게 좋 네요
가볍	화면 도 크 고 무게 는 엄청 가볍 습니다 들 고 다니 기 에 전혀 부담 없 습니다
가볍	색 도 너무 마음 에 들 고 무게 도 생각 보다 가볍 네요
가볍	색 도 너무 마음 에 들 고 무게 도 생각 보다 가볍 네요
가볍고	무게 가볍고 가성비 킹 이 ㅂ니다
적당	일단 오 닉스 블루 색감 좋 아요 사진 보다 파란 느낌 이 고요 마 감도 맘 에 들 네요 적당 하 ᆫ 크기 에 무게 로 들 고 다니 기 도 괜찮 아요
가볍고	배송 이 좀 늦어지 긴 하 았 지만 무게 가볍고 가성비 킹 이 ㅂ니다만 족하 ㅂ니다 이 가격 에 이 성능 이 라니
가볍고	가성비 최고 이 이 ㅂ니다 정말 좋 습니다 배송 도 빠르 고 더블 업글 찬스 로 정말 잘 구입 하 ᆫ 것 같 습니다 무게 도 가볍고 출장 시 이용 하 면 좋 을 것 같 네요 많이 팔 시 고 대박 나 세요
적당	레노버 s 340 - 14 api 일단 오 닉스 블루 색감 좋 아요 사진 보다 파란 느낌 이 고요 마 감도 맘 에 들 네요 적당 하 ᆫ 크기 에 무게 로 들 고 다니 기 도 괜찮 아요
가볍	디자인 이쁘 고 무게 도 생각 보다 는 가볍 네 요
적당	무게 랑 스펙 도 적당 하 고 이 ᆫ 가격대 에 는 가장 저렴 하 ᆫ 것 같 습니다
가볍	사양 은 선택 이 니 하드웨어 성능 에 따라가 ㅂ니다 전 8 gb 라 이제 ᆫ 5 512 선택 으로 하 았 고 영화 보 거나 인강 또는 웹서핑 용 으로 구매 하 았 습니다 가볍 다는 메이저 급 노트북 대비 무게 는 나가 지만 휴대성 도 좋 습니다 잘 쓰 겠 습니다
가볍고	14 " 이 이 지만 베젤 이 엄청나 게 얇 아서 예전 14 " 13 " 중간 사이즈 무게 는 더 가볍고 15 " tn 살 ᆯ까 엄청 고민 하 다가 14 결정 하 았 는데
가볍	아 답 하 다 정말 가볍 ᄆ 우리 노트북 가지 고 다니 ᆯ 때 아 답 하 다 무게 땜 에 짜증 나 는게 이 모델 은 그런 것 없 음 한 100 g 되 ㄹ려나
무겁	무게 생각 보다 무겁 습니다
