PNword	review
훨씬	5 키로 정도 이 었 는데 이번 에 그램 17 i5 사서 들어보 니까 훨씬 가볍고 백팩 에 가지 고 다니 면 좋 겠 다고 생각 들 이 었 어요 화면 도 처음 에 는 크기 차이 가 생각 보다 덜 나 ᆫ다고 생각 하 았 는데 쓰 다 보 니까 훨씬 나 아요 배송 도 빨리 오 았 어요 11
만족	만족 스럽 ᆫ 그램 17인치 화면 이 크 어서 너무 좋 아요 기존 에 쓰 던 15인치 노트북 이랑 크기 는 비슷 하 ᆫ 데 화 이 면은 꽉차 아서 시원시원 하 ㅂ니다 
17인치	만족 스럽 ᆫ 그램 17인치 화면 이 크 어서 너무 좋 아요 기존 에 쓰 던 15인치 노트북 이랑 크기 는 비슷 하 ᆫ 데 화 이 면은 꽉차 아서 시원시원 하 ㅂ니다 
크	만족 스럽 ᆫ 그램 17인치 화면 이 크 어서 너무 좋 아요 기존 에 쓰 던 15인치 노트북 이랑 크기 는 비슷 하 ᆫ 데 화 이 면은 꽉차 아서 시원시원 하 ㅂ니다 
좋	만족 스럽 ᆫ 그램 17인치 화면 이 크 어서 너무 좋 아요 기존 에 쓰 던 15인치 노트북 이랑 크기 는 비슷 하 ᆫ 데 화 이 면은 꽉차 아서 시원시원 하 ㅂ니다 
시원시원	만족 스럽 ᆫ 그램 17인치 화면 이 크 어서 너무 좋 아요 기존 에 쓰 던 15인치 노트북 이랑 크기 는 비슷 하 ᆫ 데 화 이 면은 꽉차 아서 시원시원 하 ㅂ니다
크	코딩 하 는게 직업 이 라 화면 크 ᆫ게 필요 하 았 는데 , 그램 17 으로 정하 고 몇 달 을 벼르 다 고민 고민 끝 에 구매 하 았 어요
크	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다 
좋	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다 
크	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다 
좋	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다
17인치	17인치 크 ᆫ 화면 에 가볍고 액정 화질 좋 습니다 디자인 과 배송 도 만족 스럽 어요 
크	17인치 크 ᆫ 화면 에 가볍고 액정 화질 좋 습니다 디자인 과 배송 도 만족 스럽 어요 
좋	17인치 크 ᆫ 화면 에 가볍고 액정 화질 좋 습니다 디자인 과 배송 도 만족 스럽 어요 
만족	17인치 크 ᆫ 화면 에 가볍고 액정 화질 좋 습니다 디자인 과 배송 도 만족 스럽 어요
17인치	17인치 화면 역시 기존 에 사용 하 던 15
크	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다 
시원시원	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다 
좋	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다
크	데스크탑 대용 으로 화면 크 ᆫ 노트북 을 찾 다보니 LG 그램 에 17 인 제품 이 있 어 구입 을 하 었 는데 넘 만족 하 ㅂ니다 
만족	데스크탑 대용 으로 화면 크 ᆫ 노트북 을 찾 다보니 LG 그램 에 17 인 제품 이 있 어 구입 을 하 었 는데 넘 만족 하 ㅂ니다
크	화이트 이 라 그렇 ᆫ지 더 가볍 게 느껴지 기 도 하 고 화면 도 크 어서 데스크탑 대용 으로 로 쓰 는데 크 ᆫ 불편 하 ᄆ 없 고 넘 좋 습니다 
크	화이트 이 라 그렇 ᆫ지 더 가볍 게 느껴지 기 도 하 고 화면 도 크 어서 데스크탑 대용 으로 로 쓰 는데 크 ᆫ 불편 하 ᄆ 없 고 넘 좋 습니다 
좋	화이트 이 라 그렇 ᆫ지 더 가볍 게 느껴지 기 도 하 고 화면 도 크 어서 데스크탑 대용 으로 로 쓰 는데 크 ᆫ 불편 하 ᄆ 없 고 넘 좋 습니다
크	이동 하 면서 포토샵 을 하 ᆯ 일 이 있 어서 크 ᆫ 화면 의 노트북 을 고려 하 고 있 던 저 에게 그램 17 은 정말 최적 의 모델 이 었 어요
